Acanthus family,,,,Drosophila suzukii,Fruit flies,,European grapevine moth,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Achatocarpus family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Adder's-tongue family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Aloe family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Amaranth family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Araucaria family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Arrow-grass family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Arum family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Aster family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,Old world bollworm,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Azolla family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Balanophora family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Banana family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Barbados Cherry family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Barberry family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Basella family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bayberry family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Beech family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Begonia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bellflower family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Birch family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Bird of Paradise Flower family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Birthwort family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bittersweet family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Bladdernut family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Bladderwort family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bloodwort family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Borage family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,Plum Pox,,,,,,
Boxwood family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Brachythecium moss family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bracken Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Brazil-nut family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Bromeliad family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Broom-rape family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Brunellia family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Buckbean family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,Giant African Snails,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Buckthorn family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Buckwheat family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,Barberry black stem rust,Chrysanthemum White Rust,,,,,European Larch Canker,,Karnal Bunt,,,,,,,,
Burmannia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bur-reed family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Buttercup family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Butterfly-bush family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cacao family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Cactus family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Calamus family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Calycera family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Canella family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Canna family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cannarus family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cape-pondweed family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Caper family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Carpet-weed family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Carrot family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Catbrier family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Catkin-mistletoe family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cat-tail family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cecropia family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Century-plant family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Chain Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Chinese Gooseberry family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Chloranthus family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Christmas Mistletoe family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Clethra family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Climbing Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Club-moss family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Coca family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cocoa-plum family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,Giant African Snails,,,,Chrysanthemum White Rust,,,,,,,,,Plum Pox,,,,,,
Corkwood family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Costus family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Creosote-bush family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Crossosoma family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Crowberry family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cucumber family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,Giant African Snails,Golden Nematodes,Pale Cyst Nematode,,Chrysanthemum White Rust,,,,,,,,,,,,,Ralstonia,,
Cunonia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Curly-grass family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Currant family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Custard-apple family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Cycad family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Cypress family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Cyrilla family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Datisca family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Diamond-leaf Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Diapensia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Dillenia family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Ditch-grass family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Dodder family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Dogbane family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Dogwood family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Duckweed family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
East Indian Pitcher-plant family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Ebony family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Eel-grass family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Elaeocarpus family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Elm family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Epacris family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Evening Primrose family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,Old world bollworm,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Fig-marigold family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Figwort family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Filmy Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Flacourtia family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Flagellaria family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Flax family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Floating Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Flowering Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Flowering Rush family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Forking Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Four o'clock family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Frankenia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Frankincense family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Fumitory family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Gentian family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Geranium family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Gesneriad family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Ginger family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Ginkgo family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Ginseng family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Gnetum family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Goodenia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Goosefoot family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Grape family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Grass family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,Old world bollworm,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Greyia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Gunnera family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Hanging Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Hanguana family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Heath family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Heliconia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Hemp family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Hernandia family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Hippocratea family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Holly family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Honeysuckle family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Horned pondweed family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Hornwort family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Horse-chestnut family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Horse-radish tree family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Horsetail family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Hydrangea family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Icacina family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Indian Almond family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Indian Pipe family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Iris family,Asian Longhorned Beetle,,,,,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,Gladiolus Rust,,,,,,,,,
Joinvillea family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Jojoba family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Kapok-tree family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Karaka family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Katsura-tree family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Kihi Fern family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Krameria family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Lardizabala family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Laurel family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Leadwort family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Lennoa family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Lily family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
